Distance(mi),Crossing,Junction,Traffic_Calming,Visibility(mi),Sunrise_Sunset,Month,Day_of_Week,Hour,Severity,Temperature(F),Wind_Chill(F),Humidity(%),Pressure(in),Wind_Speed(mph),Precipitation(in),Weather_Condition_Cloudy,Weather_Condition_Fair,Weather_Condition_Fog,Weather_Condition_Rain,Weather_Condition_Snow,Weather_Condition_Thunder,Weather_Condition_Wintry Mix,cluster_location_0,cluster_location_1,cluster_location_2,cluster_location_3,cluster_location_4,cluster_location_5,cluster_location_6,cluster_location_7,cluster_location_8,cluster_location_9
1.851,1,0,0,2.302585092994046,1,6,1,7,2,59.0,59.0,78.0,30.11,3.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0.33,0,0,0,1.0986122886681098,1,10,3,9,2,46.0,46.0,89.0,30.14,3.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0.501,0,0,0,2.302585092994046,1,9,1,11,2,57.0,57.0,87.0,30.09,8.0,0.05,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
1.205,0,0,0,2.302585092994046,1,4,4,6,2,41.0,41.0,76.0,30.13,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0.184,0,0,0,2.302585092994046,1,10,4,13,2,59.0,59.0,75.0,29.8,9.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1.202,0,1,0,2.302585092994046,1,3,0,13,2,52.0,52.0,59.0,30.13,8.0,0.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2.543,0,0,0,0.6931471805599453,1,12,0,13,2,44.0,40.0,89.0,30.02,8.0,0.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
0.171,1,0,0,1.9459101490553132,0,9,5,5,2,58.0,58.0,90.0,29.72,7.0,0.16,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
0.151,1,0,0,2.0794415416798357,1,11,4,14,2,62.0,62.0,86.0,30.16,7.0,0.08,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
0.75,1,0,0,2.302585092994046,1,9,5,15,2,76.0,76.0,31.0,30.1,9.0,0.0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0.728,0,0,0,2.302585092994046,1,3,4,7,2,48.0,45.0,66.0,30.02,7.0,0.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0.0069999999999999,1,0,0,2.302585092994046,1,6,1,11,2,74.0,74.0,53.0,29.86,6.0,0.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0.336,0,0,0,2.0794415416798357,0,11,4,19,2,51.0,51.0,92.0,30.2,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0.551,0,1,0,2.302585092994046,1,7,1,12,2,73.0,73.0,53.0,29.96,8.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0.534,0,0,0,2.302585092994046,1,12,3,11,2,42.0,42.0,89.0,30.02,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0.994,0,0,0,2.302585092994046,1,10,3,17,2,60.0,60.0,51.0,30.0,8.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0.447,0,0,0,1.9459101490553132,0,11,5,2,2,52.0,52.0,89.0,30.16,5.0,0.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0.168,0,0,0,2.302585092994046,1,11,0,11,2,50.0,50.0,71.0,29.92,10.0,0.01,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
0.373,0,0,0,2.302585092994046,0,10,2,6,2,56.0,56.0,77.0,29.71,10.0,0.01,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
0.362,0,0,0,1.6094379124341003,0,11,3,18,2,44.0,37.0,85.0,29.83,14.0,0.04,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
0.0279999999999999,0,1,0,2.302585092994046,1,9,6,19,2,73.0,73.0,61.0,29.96,9.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0.812,0,1,0,2.302585092994046,1,7,6,14,2,85.0,85.0,38.0,29.97,14.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0.58,0,0,0,2.302585092994046,1,6,5,12,2,91.0,91.0,41.0,29.93,8.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0.962,0,1,0,2.302585092994046,1,5,0,9,2,54.0,54.0,86.0,30.1,6.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
0.295,1,0,0,2.302585092994046,0,8,6,5,2,62.0,62.0,65.0,30.01,5.0,0.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0.21,0,0,0,2.302585092994046,0,9,6,20,2,65.0,65.0,50.0,30.11,13.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0.225,0,0,0,2.302585092994046,0,12,3,18,2,43.0,39.0,74.0,29.54,7.0,0.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
